base_year,series,year,indicator,frequency,revision,industry,subindustry,institutional_sector,quarter,current_price,constant_price,unit
2022-23,Current,2024-25,Gross Value Added,Annual,First Revised Estimates,"Transport, Storage, Communication & Services Related to Broadcasting",Water Transport,General Government,Q2,24067.40406,21288.30933,₹ Crore
2022-23,Current,2024-25,Gross Value Added,Annual,First Revised Estimates,"Transport, Storage, Communication & Services Related to Broadcasting",Air Transport,General Government,Q2,42219.20591,27548.55268,₹ Crore
2022-23,Current,2024-25,Gross Value Added,Annual,First Revised Estimates,"Transport, Storage, Communication & Services Related to Broadcasting",Services Incidental to Transport,General Government,Q2,165550.6058,148821.341,₹ Crore
2022-23,Current,2024-25,Gross Value Added,Annual,First Revised Estimates,"Transport, Storage, Communication & Services Related to Broadcasting",Storage,General Government,Q2,43732.32476,33187.4001,₹ Crore
2022-23,Current,2024-25,Gross Value Added,Annual,First Revised Estimates,"Transport, Storage, Communication & Services Related to Broadcasting",Communication & Services Related to Broadcasting,General Government,Q2,428786.4293,467578.8275,₹ Crore
2022-23,Current,2024-25,Gross Value Added,Annual,First Revised Estimates,"Transport, Storage, Communication & Services Related to Broadcasting",Air Transport,General Government,Q2,1546561.015,1514117.696,₹ Crore
2022-23,Current,2024-25,Gross Value Added,Annual,First Revised Estimates,"Financial, Real Estate & Professional Services",Air Transport,General Government,Q2,7549123.743,6983732.923,₹ Crore
2022-23,Current,2024-25,Gross Value Added,Annual,First Revised Estimates,Financial Services,Air Transport,General Government,Q2,1839681.732,1738669.732,₹ Crore
2022-23,Current,2024-25,Gross Value Added,Annual,First Revised Estimates,"Real Estate, Ownership of Dwelling & Professional Services",Air Transport,General Government,Q2,5709442.011,5245063.19,₹ Crore
2022-23,Current,2024-25,Gross Value Added,Annual,First Revised Estimates,"Public Administration, Defence & Other Services",Air Transport,General Government,Q2,3711046.401,3408478.769,₹ Crore
2022-23,Current,2024-25,Gross Value Added,Annual,First Revised Estimates,Public Administration and Defence,Air Transport,General Government,Q2,1629400.23,1514461.314,₹ Crore
2022-23,Current,2024-25,Gross Value Added,Annual,First Revised Estimates,Other Services,Air Transport,General Government,Q2,2081646.171,1894017.455,₹ Crore
2022-23,Current,2024-25,Gross Value Added,Annual,First Revised Estimates,Total Gross Value Added,Air Transport,General Government,Q2,28854467.43,27336495.16,₹ Crore
2011-12,Current,2023-24,Gross Value Added,Annual,First Advance Estimates,"Agriculture, Livestock, Forestry and Fishing",Air Transport,General Government,Q2,4809250.687,2274933.328,₹ Crore
2011-12,Current,2023-24,Gross Value Added,Annual,First Advance Estimates,Mining and Quarrying,Air Transport,General Government,Q2,617395.7347,350869.7298,₹ Crore
2011-12,Current,2023-24,Gross Value Added,Annual,First Advance Estimates,Manufacturing,Air Transport,General Government,Q2,3796269.566,2788055.805,₹ Crore
2011-12,Current,2023-24,Gross Value Added,Annual,First Advance Estimates,"Electricity, Gas, Water Supply & Other Utility Services",Air Transport,General Government,Q2,809604.8836,372918.7662,₹ Crore
2011-12,Current,2023-24,Gross Value Added,Annual,First Advance Estimates,Construction,Air Transport,General Government,Q2,2221363.235,1375800.431,₹ Crore
2011-12,Current,2023-24,Gross Value Added,Annual,First Advance Estimates,"Trade, Hotels, Transport, Communication & Services Related to Broadcasting",Air Transport,General Government,Q2,4707727.54,2977007.222,₹ Crore
2011-12,Current,2023-24,Gross Value Added,Annual,First Advance Estimates,"Financial, Real Estate & Professional Services",Air Transport,General Government,Q2,5826764.951,3615545.059,₹ Crore
2011-12,Current,2023-24,Gross Value Added,Annual,First Advance Estimates,"Public Administration, Defence & Other Services",Air Transport,General Government,Q2,3923818.648,2027026.204,₹ Crore
2011-12,Current,2023-24,Gross Value Added,Annual,First Advance Estimates,Total Gross Value Added,Air Transport,General Government,Q2,26712195.24,15782156.54,₹ Crore
2011-12,Current,2023-24,Gross Value Added,Annual,Second Advance Estimates,"Agriculture, Livestock, Forestry and Fishing",Air Transport,General Government,Q2,4692359.508,2287328.717,₹ Crore
2011-12,Current,2023-24,Gross Value Added,Annual,Second Advance Estimates,Mining and Quarrying,Air Transport,General Government,Q2,527063.705,340821.2116,₹ Crore
