base_year,series,year,indicator,frequency,revision,industry,subindustry,institutional_sector,quarter,current_price,constant_price,unit
2011-12,Current,2023-24,Gross Value Added,Annual,First Advance Estimates,"Trade, Hotels, Transport, Communication & Services Related to Broadcasting",,,,4707727.54,2977007.222,₹ Crore
2011-12,Current,2023-24,Gross Value Added,Annual,First Advance Estimates,"Financial, Real Estate & Professional Services",,,,5826764.951,3615545.059,₹ Crore
2011-12,Current,2023-24,Gross Value Added,Annual,First Advance Estimates,"Public Administration, Defence & Other Services",,,,3923818.648,2027026.204,₹ Crore
2011-12,Current,2023-24,Gross Value Added,Annual,First Advance Estimates,Total Gross Value Added,,,,26712195.24,15782156.54,₹ Crore
2011-12,Current,2023-24,Gross Value Added,Annual,Second Advance Estimates,"Agriculture, Livestock, Forestry and Fishing",,,,4692359.508,2287328.717,₹ Crore
2011-12,Current,2023-24,Gross Value Added,Annual,Second Advance Estimates,Mining and Quarrying,,,,527063.705,340821.2116,₹ Crore
2011-12,Current,2023-24,Gross Value Added,Annual,Second Advance Estimates,Manufacturing,,,,3773279.987,2717235.3,₹ Crore
2011-12,Current,2023-24,Gross Value Added,Annual,Second Advance Estimates,"Electricity, Gas, Water Supply & Other Utility Services",,,,651837.9947,374124.8099,₹ Crore
2011-12,Current,2023-24,Gross Value Added,Annual,Second Advance Estimates,Construction,,,,2397798.253,1445602.812,₹ Crore
2011-12,Current,2023-24,Gross Value Added,Annual,Second Advance Estimates,"Trade, Hotels, Transport, Communication & Services Related to Broadcasting",,,,4688446.725,2957057.982,₹ Crore
2011-12,Current,2023-24,Gross Value Added,Annual,Second Advance Estimates,"Financial, Real Estate & Professional Services",,,,6052948.45,3684958.639,₹ Crore
2011-12,Current,2023-24,Gross Value Added,Annual,Second Advance Estimates,"Public Administration, Defence & Other Services",,,,3893944.063,2020578.851,₹ Crore
2011-12,Current,2023-24,Gross Value Added,Annual,Second Advance Estimates,Total Gross Value Added,,,,26677678.69,15827708.32,₹ Crore
2011-12,Current,2023-24,Gross Value Added,Annual,Provisional Estimates,"Agriculture, Livestock, Forestry and Fishing",,,,4725222.94,2304981.675,₹ Crore
2011-12,Current,2023-24,Gross Value Added,Annual,Provisional Estimates,Mining and Quarrying,,,,525881.0881,337623.3961,₹ Crore
2011-12,Current,2023-24,Gross Value Added,Annual,Provisional Estimates,Manufacturing,,,,3819748.547,2751680.319,₹ Crore
2011-12,Current,2023-24,Gross Value Added,Annual,Provisional Estimates,"Electricity, Gas, Water Supply & Other Utility Services",,,,663458.0944,374174.3847,₹ Crore
2011-12,Current,2023-24,Gross Value Added,Annual,Provisional Estimates,Construction,,,,2383876.737,1436080.905,₹ Crore
2011-12,Current,2023-24,Gross Value Added,Annual,Provisional Estimates,"Trade, Hotels, Transport, Communication & Services Related to Broadcasting",,,,4684542.051,2955766.611,₹ Crore
2011-12,Current,2023-24,Gross Value Added,Annual,Provisional Estimates,"Financial, Real Estate & Professional Services",,,,6064250.776,3691644.946,₹ Crore
2011-12,Current,2023-24,Gross Value Added,Annual,Provisional Estimates,"Public Administration, Defence & Other Services",,,,3895166.944,2021798.46,₹ Crore
2011-12,Current,2023-24,Gross Value Added,Annual,Provisional Estimates,Total Gross Value Added,,,,26762147.18,15873750.7,₹ Crore
2011-12,Current,2023-24,Gross Value Added,Annual,First Revised Estimates,,,Public Non-Financial Corporations,,1514828.42,,₹ Crore
2011-12,Current,2023-24,Gross Value Added,Annual,First Revised Estimates,,,Private Non-Financial Corporations,,9886869.053,,₹ Crore
2011-12,Current,2023-24,Gross Value Added,Annual,First Revised Estimates,,,Public Financial Corporations,,710855.9163,,₹ Crore
2011-12,Current,2023-24,Gross Value Added,Annual,First Revised Estimates,,,Private Financial Corporations,,887329.246,,₹ Crore
2011-12,Current,2023-24,Gross Value Added,Annual,First Revised Estimates,,,General Government,,2564516.081,,₹ Crore
2011-12,Current,2023-24,Gross Value Added,Annual,First Revised Estimates,,,Households Including NPISH,,11848489.33,,₹ Crore
2011-12,Current,2023-24,Gross Value Added,Annual,First Revised Estimates,,,Total Gross Value Added,,27412888.05,,₹ Crore
2011-12,Current,2023-24,Gross Value Added,Annual,First Revised Estimates,"Agriculture, Livestock, Forestry and Fishing",Crops,,,2652890.753,1273457.528,₹ Crore
2011-12,Current,2023-24,Gross Value Added,Annual,First Revised Estimates,"Agriculture, Livestock, Forestry and Fishing",Livestock,,,1505615.236,727481.399,₹ Crore
2011-12,Current,2023-24,Gross Value Added,Annual,First Revised Estimates,"Agriculture, Livestock, Forestry and Fishing",Forestry and Logging,,,351236.9568,190498.0696,₹ Crore
2011-12,Current,2023-24,Gross Value Added,Annual,First Revised Estimates,"Agriculture, Livestock, Forestry and Fishing",Fishing and Aquaculture,,,368124.3426,175849.5183,₹ Crore
2011-12,Current,2023-24,Gross Value Added,Annual,First Revised Estimates,"Agriculture, Livestock, Forestry and Fishing",,,,4877867.288,2367286.515,₹ Crore
2011-12,Current,2023-24,Gross Value Added,Annual,First Revised Estimates,Mining and Quarrying,,,,532342.7886,330007.402,₹ Crore
2011-12,Current,2023-24,Gross Value Added,Annual,First Revised Estimates,Manufacturing,"Food Products, Beverages and Tobacco",,,380224.5209,243667.0822,₹ Crore
2011-12,Current,2023-24,Gross Value Added,Annual,First Revised Estimates,Manufacturing,"Textiles, Apparel and Leather Products",,,417845.6112,307719.772,₹ Crore
2011-12,Current,2023-24,Gross Value Added,Annual,First Revised Estimates,Manufacturing,Metal Products,,,585857.4527,420272.3874,₹ Crore
2011-12,Current,2023-24,Gross Value Added,Annual,First Revised Estimates,Manufacturing,Machinery and Equipment,,,974722.5669,754849.1361,₹ Crore
2011-12,Current,2023-24,Gross Value Added,Annual,First Revised Estimates,Manufacturing,Other Manufactured Goods,,,1562945.721,1099426.932,₹ Crore
2011-12,Current,2023-24,Gross Value Added,Annual,First Revised Estimates,Manufacturing,,,,3921595.873,2825935.31,₹ Crore
2011-12,Current,2023-24,Gross Value Added,Annual,First Revised Estimates,"Electricity, Gas, Water Supply & Other Utility Services",,,,766435.4241,382775.9055,₹ Crore
2011-12,Current,2023-24,Gross Value Added,Annual,First Revised Estimates,Construction,,,,2401618.316,1437788.104,₹ Crore
2011-12,Current,2023-24,Gross Value Added,Annual,First Revised Estimates,"Trade, Repair, Hotels and Restaurants",Trade & Repair Services,,,2812001.142,1797187.705,₹ Crore
2011-12,Current,2023-24,Gross Value Added,Annual,First Revised Estimates,"Trade, Repair, Hotels and Restaurants",Hotels & Restaurants,,,316533.6895,202370.9304,₹ Crore
2011-12,Current,2023-24,Gross Value Added,Annual,First Revised Estimates,"Trade, Repair, Hotels and Restaurants",,,,3128534.832,1999558.635,₹ Crore
2011-12,Current,2023-24,Gross Value Added,Annual,First Revised Estimates,"Transport, Storage, Communication & Services Related to Broadcasting",Railways,,,178709.165,101345.1472,₹ Crore
2011-12,Current,2023-24,Gross Value Added,Annual,First Revised Estimates,"Transport, Storage, Communication & Services Related to Broadcasting",Road Transport,,,773645.6263,462922.2801,₹ Crore
2011-12,Current,2023-24,Gross Value Added,Annual,First Revised Estimates,"Transport, Storage, Communication & Services Related to Broadcasting",Water Transport,,,22496.12426,15166.13363,₹ Crore
2011-12,Current,2023-24,Gross Value Added,Annual,First Revised Estimates,"Transport, Storage, Communication & Services Related to Broadcasting",Air Transport,,,33101.60635,9975.072528,₹ Crore
2011-12,Current,2023-24,Gross Value Added,Annual,First Revised Estimates,"Transport, Storage, Communication & Services Related to Broadcasting",Services Incidental to Transport,,,183436.7433,100118.8198,₹ Crore
2011-12,Current,2023-24,Gross Value Added,Annual,First Revised Estimates,"Transport, Storage, Communication & Services Related to Broadcasting",Storage,,,28210.46705,20112.33347,₹ Crore
2011-12,Current,2023-24,Gross Value Added,Annual,First Revised Estimates,"Transport, Storage, Communication & Services Related to Broadcasting",Communication & Services Related to Broadcasting,,,480370.5681,285337.5637,₹ Crore
2011-12,Current,2023-24,Gross Value Added,Annual,First Revised Estimates,"Transport, Storage, Communication & Services Related to Broadcasting",,,,1699970.3,994977.3505,₹ Crore
2011-12,Current,2023-24,Gross Value Added,Annual,First Revised Estimates,Financial Services,,,,1598185.162,972874.2439,₹ Crore
2011-12,Current,2023-24,Gross Value Added,Annual,First Revised Estimates,"Real Estate, Ownership of Dwelling & Professional Services",,,,4645967.98,2841712.23,₹ Crore
2011-12,Current,2023-24,Gross Value Added,Annual,First Revised Estimates,Public Administration and Defence,,,,1599733.828,849380.7529,₹ Crore
2011-12,Current,2023-24,Gross Value Added,Annual,First Revised Estimates,Other Services,,,,2240636.256,1149180.057,₹ Crore
2011-12,Current,2023-24,Gross Value Added,Annual,First Revised Estimates,Total Gross Value Added,,,,27412888.05,16151476.51,₹ Crore
2022-23,Current,2023-24,Gross Value Added,Annual,Final Estimates,,,Public Non-Financial Corporations,,1530261.875,,₹ Crore
2022-23,Current,2023-24,Gross Value Added,Annual,Final Estimates,,,Private Non-Financial Corporations,,8593551.209,,₹ Crore
2022-23,Current,2023-24,Gross Value Added,Annual,Final Estimates,,,Public Financial Corporations,,714051.7165,,₹ Crore
2022-23,Current,2023-24,Gross Value Added,Annual,Final Estimates,,,Private Financial Corporations,,944003.2668,,₹ Crore
2022-23,Current,2023-24,Gross Value Added,Annual,Final Estimates,,,General Government,,2455781.39,,₹ Crore
2022-23,Current,2023-24,Gross Value Added,Annual,Final Estimates,,,Households Including NPISH,,12078453.09,,₹ Crore
2022-23,Current,2023-24,Gross Value Added,Annual,Final Estimates,,,Total Gross Value Added,,26316102.55,,₹ Crore
2022-23,Current,2023-24,Gross Value Added,Annual,Final Estimates,"Agriculture, Livestock, Forestry and Fishing",Crops,,,3197007.263,3014741.448,₹ Crore
2022-23,Current,2023-24,Gross Value Added,Annual,Final Estimates,"Agriculture, Livestock, Forestry and Fishing",Livestock,,,1270858.09,1216107.404,₹ Crore
2022-23,Current,2023-24,Gross Value Added,Annual,Final Estimates,"Agriculture, Livestock, Forestry and Fishing",Forestry and Logging,,,380497.0282,393690.2226,₹ Crore
2022-23,Current,2023-24,Gross Value Added,Annual,Final Estimates,"Agriculture, Livestock, Forestry and Fishing",Fishing and Aquaculture,,,269192.8493,257086.9799,₹ Crore
2022-23,Current,2023-24,Gross Value Added,Annual,Final Estimates,"Agriculture, Livestock, Forestry and Fishing",,,,5117555.231,4881626.055,₹ Crore
2022-23,Current,2023-24,Gross Value Added,Annual,Final Estimates,Mining and Quarrying,,,,538029.6026,518001.6244,₹ Crore
2022-23,Current,2023-24,Gross Value Added,Annual,Final Estimates,Manufacturing,"Food Products, Beverages and Tobacco",,,448295.7013,454430.1966,₹ Crore
2022-23,Current,2023-24,Gross Value Added,Annual,Final Estimates,Manufacturing,"Textiles, Apparel and Leather Products",,,392972.5194,378759.776,₹ Crore
2022-23,Current,2023-24,Gross Value Added,Annual,Final Estimates,Manufacturing,Metal Products,,,520020.5149,621515.4765,₹ Crore
2022-23,Current,2023-24,Gross Value Added,Annual,Final Estimates,Manufacturing,Machinery and Equipment,,,949527.3538,885511.6258,₹ Crore
2022-23,Current,2023-24,Gross Value Added,Annual,Final Estimates,Manufacturing,Other Manufactured Goods,,,1547766.505,1584455.86,₹ Crore
2022-23,Current,2023-24,Gross Value Added,Annual,Final Estimates,Manufacturing,,,,3858582.595,3924672.935,₹ Crore
2022-23,Current,2023-24,Gross Value Added,Annual,Final Estimates,"Electricity, Gas, Water Supply & Other Utility Services",,,,732200.3523,652764.5263,₹ Crore
2022-23,Current,2023-24,Gross Value Added,Annual,Final Estimates,Construction,,,,2277316.968,2318265.807,₹ Crore
2022-23,Current,2023-24,Gross Value Added,Annual,Final Estimates,"Trade, Hotels, Transport, Communication & Services Related to Broadcasting",,,,3714570.704,3594280.771,₹ Crore
